Question,Answer
How do I check if an element is hidden in jQuery?,"You can check whether an element is hidden in jQuery by using the ':hidden' selector or the '.is("" :hidden "")' method. Another common approach is to use '.is("":visible"")' to determine whether an element is currently visible. These methods help identify elements hidden using CSS properties such as display:none or visibility:hidden."
How do I rename a local Git branch?,"To rename a local Git branch, use the command 'git branch -m new_branch_name' if you are currently on that branch. If you want to rename a different branch, use 'git branch -m old_branch_name new_branch_name'. If the branch has already been pushed to a remote repository, push the renamed branch and delete the old remote branch."
Why does HTML think “chucknorris” is a color?,"HTML itself does not recognize 'chucknorris' as a valid color. Some browsers historically attempted to interpret invalid color values by converting the string into hexadecimal values, which produced unexpected colors. This behavior is browser-specific and should not be relied upon. Always use valid CSS color names or hexadecimal color codes."
How do I force “git pull” to overwrite local files?,"If you want Git to overwrite your local changes with the latest version from the remote repository, first fetch the latest changes using 'git fetch'. Then reset your local branch using 'git reset --hard origin/branch-name'. Be careful because this permanently removes all uncommitted local changes."
What is the “-->” operator in C/C++?,"There is no '-->' operator in C or C++. The expression is interpreted as the post-decrement operator ('--') followed by the greater-than comparison operator ('>'). For example, 'while(x-->0)' means 'while((x--) > 0)', where the value is compared before it is decremented."
How can I remove a specific item from an array?,"In JavaScript, you can remove a specific item from an array by finding its index with 'indexOf()' and then using 'splice()' to remove it. Alternatively, you can use the 'filter()' method to create a new array that excludes the unwanted element. The filter approach is recommended because it does not modify the original array."
Can comments be used in JSON?,"No, the official JSON specification does not allow comments. JSON is intended to be a lightweight data interchange format, and comments are considered invalid syntax. If you need to document your data, include descriptive fields in the JSON object or maintain documentation separately."
What and where are the stack and heap?,"The stack and heap are two different memory regions used by programs. The stack stores local variables, function parameters, and function call information, while the heap stores dynamically allocated memory created during program execution. Stack memory is automatically managed, whereas heap memory is allocated and released manually or by a garbage collector, depending on the programming language."
What is the correct JSON content type?,"The correct MIME type for JSON is 'application/json'. When sending or receiving JSON data through an HTTP request or response, the 'Content-Type' header should be set to 'application/json'. This allows clients and servers to correctly identify and parse the JSON data."
How do I undo 'git add' before commit?,"If you accidentally staged files using 'git add', you can unstage them before committing. Use the command 'git restore --staged <file>' to unstage a specific file or 'git restore --staged .' to unstage all files. In older versions of Git, you can use 'git reset HEAD <file>'. This removes files from the staging area without affecting your working directory."
How do I undo the most recent local commits in Git?,"You can undo the most recent local commits using the 'git reset' command. Use 'git reset --soft HEAD~1' to keep your changes staged, 'git reset --mixed HEAD~1' to keep them unstaged, or 'git reset --hard HEAD~1' to discard both the commit and the changes completely. Choose the appropriate option depending on whether you want to preserve your work."
What does “use strict” do in JavaScript and what is the reasoning behind it?,"The 'use strict' directive enables JavaScript's strict mode, which helps developers write safer and more reliable code. It prevents the use of undeclared variables, disallows certain error-prone syntax, and throws errors for common programming mistakes. Using strict mode improves code quality and makes debugging easier."
Why is processing a sorted array faster than processing an unsorted array?,"Processing a sorted array is often faster because modern processors use branch prediction to optimize execution. When data is sorted, conditional branches become more predictable, resulting in fewer branch mispredictions and better CPU cache utilization. This leads to improved performance even though the algorithm itself remains the same."
What does the “yield” keyword do?,"The 'yield' keyword is used to create a generator function in Python. Instead of returning all values at once, a generator produces one value at a time and remembers its execution state between iterations. This makes generators memory-efficient and suitable for processing large datasets or infinite sequences."
How do I remove a property from a JavaScript object?,"You can remove a property from a JavaScript object using the 'delete' operator. For example, 'delete object.propertyName' removes the specified property from the object. Alternatively, you can use object destructuring to create a new object without the unwanted property if you want to avoid modifying the original object."
What does if __name__ == '__main__': do?,"In Python, the statement 'if __name__ == \"__main__\":' checks whether the current file is being executed directly or imported as a module. Code inside this block runs only when the script is executed directly. This allows the same file to be used both as a standalone program and as an importable module."
Why Is Subtracting These Two Times (in 1927) Giving A Strange Result?,"This issue occurs because of historical time zone changes and daylight saving time transitions. Many regions modified their local time rules during the early twentieth century, and modern time zone databases preserve these historical records. When performing date and time calculations, the programming language correctly applies these historical offsets, which may produce unexpected results."
Does Python have a ternary conditional operator?,"Yes, Python supports conditional expressions, often referred to as the ternary operator. The syntax is 'value_if_true if condition else value_if_false'. This provides a concise way to assign or return one of two values based on a condition."
What is the difference between String and string in C#?,"In C#, 'string' is a language keyword that acts as an alias for the .NET 'System.String' class. Both represent the same data type and are functionally identical. Most developers prefer using the lowercase 'string' keyword because it is consistent with other built-in C# types such as 'int' and 'bool'."
How to check whether a string contains a substring in JavaScript?,"You can check whether a string contains a substring by using the 'includes()' method. For example, 'text.includes(\"hello\")' returns true if the substring exists and false otherwise. Older JavaScript code often uses 'indexOf()', which returns the position of the substring or -1 if it is not found."
Is Java “pass-by-reference” or “pass-by-value”?,"Java is strictly pass-by-value. For primitive data types, the actual value is copied when passed to a method. For objects, Java passes a copy of the object reference, allowing the object's contents to be modified but not allowing the reference itself to be changed outside the method."
How do I revert a Git repository to a previous commit?,"There are several ways to return to a previous commit in Git. You can use 'git checkout <commit>' to inspect an earlier commit, 'git reset' to move the branch pointer back, or 'git revert' to create a new commit that reverses the changes made by a previous commit. The best choice depends on whether the commits have already been shared with others."
var functionName = function() {} vs function functionName() {},"A function declaration, such as 'function functionName() {}', is hoisted, meaning it can be called before it appears in the code. A function expression, such as 'var functionName = function() {}', is assigned to a variable and is not fully available until the assignment statement executes. Function expressions are commonly used for callbacks, closures, and assigning functions dynamically."How to remove local (untracked) files from the current Git working tree,"Tags: ['git', 'branch', 'git-branch']. Asked by Readonly on 2008-09-14 09:06:10. Votes: 7174, Views: Viewed 2,430,280 times."
How do I check out a remote Git branch?,"Tags: ['git', 'git-checkout', 'remote-branch']. Asked by Juri Glass on 2009-11-23 14:23:46. Votes: 7174, Views: Viewed 5,708,219 times."
